time,IR
32.283, 95213
32.304, 95239
32.324, 95160
32.343, 95112
32.363, 95110
32.384, 95075
32.404, 95119
32.423, 95180
32.443, 95202
32.464, 95316
32.484, 95407
32.505, 95434
32.523, 95553
32.544, 95632
32.564, 95625
32.584, 95460
32.604, 95360
32.624, 95328
32.645, 95350
32.665, 95337
32.686, 95292
32.704, 95294
32.725, 95256
32.745, 95193
32.766, 95119
32.784, 95180
32.805, 95196
32.825, 95264
32.846, 95265
32.866, 95307
32.885, 95414
32.905, 95494
32.925, 95473
32.946, 95526
32.965, 95624
32.986, 95676
33.006, 95683
33.027, 95673
33.047, 95748
33.066, 95814
33.086, 95805
33.107, 95724
33.127, 95592
33.146, 95643
33.166, 95636
33.187, 95615
33.207, 95578
33.228, 95596
33.246, 95584
33.266, 95566
33.287, 95613
33.307, 95669
33.326, 95822
33.346, 95931
33.368, 95922
33.388, 95959
33.409, 96056
33.427, 96090
33.448, 96030
33.468, 95915
33.489, 95862
33.507, 95804
33.528, 95755
33.548, 95662
33.569, 95519
33.587, 95413
33.607, 95378
33.628, 95433
33.648, 95479
33.669, 95501
33.688, 95547
33.709, 95469
33.729, 95403
33.750, 95393
33.768, 95461
33.789, 95496
33.809, 95500
33.830, 95469
33.850, 95486
33.869, 95561
33.889, 95583
33.910, 95612
33.930, 95633
33.948, 95614
33.969, 95547
33.989, 95545
34.010, 95519
34.030, 95582
34.049, 95659
34.069, 95704
34.090, 95753
34.111, 95775
34.130, 95831
34.150, 95747
34.171, 95660
34.191, 95726
34.212, 95705
34.230, 95666
34.251, 95522
34.271, 95265
34.291, 95085
34.310, 94883
34.330, 94621
34.351, 94340
34.371, 93765
34.392, 92112
34.410, 89902
34.431, 89308
34.451, 77569
34.472, 56262
34.491, 35478
34.512, 21072
34.532, 12156
34.553, 7254
34.573, 4612
34.592, 3043
34.612, 2113
34.632, 1508
34.653, 1163
34.673, 926
34.692, 799
34.712, 747
34.733, 670
34.753, 587
34.773, 578
34.793, 573
34.812, 603
34.832, 608
34.853, 627
34.873, 629
34.894, 622
34.912, 633
34.933, 652
34.953, 644
34.973, 638
34.994, 620
35.014, 619
35.033, 626
35.053, 643
35.074, 636
35.094, 630
35.115, 625
35.135, 612
35.154, 606
35.174, 612
35.195, 608
